2021-08-18 18:32:53,335 | discover | walk | 64 | DEBUG | Walking: ./test3, ['AAES - TOP25 Remediation with Details.pdf']
2021-08-18 18:32:53,336 | discover | attributes_from_filename | 35 | INFO | Parsed filename for attributes: {'filename': 'AAES - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAES'}
2021-08-18 18:32:53,336 | discover | walk | 76 | DEBUG | Accept filename region: AAES
2021-08-18 18:32:53,336 | discover | walk | 87 | DEBUG | Discovered PDF: {'filename': 'AAES - TOP25 Remediation with Details.pdf', 'type': 'TOP25 Remediation with Details', 'region': 'AAES', 'root': './test3', 'path': './test3\\AAES - TOP25 Remediation with Details.pdf'}
2021-08-18 18:32:53,340 | scanner | __init__ | 24 | DEBUG | Scanner on
2021-08-18 18:32:53,341 | scanner | __init__ | 27 | DEBUG | Load document, path: ./test3\AAES - TOP25 Remediation with Details.pdf
2021-08-18 18:32:53,341 | scanner | scan | 60 | DEBUG | Document path: ./test3\AAES - TOP25 Remediation with Details.pdf
2021-08-18 18:32:53,343 | scanner | __init__ | 34 | DEBUG | Loading scan template: Top25
2021-08-18 18:32:53,344 | scanner | __init__ | 39 | INFO | Scan template: {'page': 1, 'crop': (108, 252, 1677, 621)}
2021-08-18 18:32:53,344 | scanner | page | 78 | DEBUG | Getting page 1, pdf=None
2021-08-18 18:32:53,344 | scanner | page | 82 | DEBUG | PDF not provided, using last scanned document
2021-08-18 18:32:53,345 | scanner | page | 91 | INFO | Page 1 loaded
2021-08-18 18:32:53,345 | scanner | pixelmap | 105 | DEBUG | Converting page to pixels, page=None, matrix=None
2021-08-18 18:32:53,345 | scanner | pixelmap | 109 | DEBUG | Page not provided, using last selected page
2021-08-18 18:32:53,345 | scanner | pixelmap | 114 | DEBUG | Matrix not provided, using default values
2021-08-18 18:32:53,345 | scanner | matrix | 73 | DEBUG | Creating matrix: zoom_x:3, zoom_y:3, rotate:0
2021-08-18 18:32:53,388 | scanner | image | 129 | DEBUG | PixMap not provided, generating from last used page
2021-08-18 18:32:53,408 | scanner | save | 174 | INFO | Image not provided, using last working image
